,aktienfonds bezeichnet einsatz derivaten genauso steigende kurse setzen long-position fallende kurse spekulieren short-position grenze long-position entspricht investitionsgrad short-position woraus bezeichnung
bankrott,bankrott ital banca rotta zerschlagener tisch versteht insolvenz insbesondere zahlungsunfähigkeit schuldners umgangssprachliche konkurs pleite
gewinn je aktie,gewinn aktie englisch earnings per share eps betriebswirtschaftliche kennzahl beurteilung ertragskraft aktiengesellschaft sowohl ias/ifrs us-gaap börsennotierte unternehmen jeweils jahresabschluss veröffentlicht
behavioral strategy,behavioral strategy verbindet erkenntnisse neuro- sozial- kognitions- tiefen-psychologie theorie strategischen managements sodass verhaltenswissenschaftliche aspekte entwicklung umsetzung unternehmensstrategien berücksichtigt behavioral strategy
verhaltensökonomik,verhaltensökonomik englisch behavioral economics verhaltensökonomie teilgebiet wirtschaftswissenschaft beschäftigt menschlichem verhalten wirtschaftlichen situationen
benefiziat,benefiziat lat benefizium ehemaliger amtstitel römisch-katholischen kirche kleriker unterhalt ertrag pfründe erhielt
betafaktor,betafaktor  β  \displaystyle \beta  -faktor stellt capital asset pricing model capm aufbauenden finanzwirtschaftlichen theorien kennzahl investitions- finanzierungsmaßnahme
geldkurs,geldkurs englisch bid börsenkurs finanzinstrumente finanzprodukte wirtschaftssubjekt nachgefragt höchste preis marktteilnehmer klassischen orderbuchhandelssystem fortlaufender auktion bereit  wertpapiere devisen sorten
billing and settlement plan,billing and settlement plan bsp weltweit weitesten verbreitete system einfachen abwicklung ticketverkäufe airlines zugelassenen verkaufsagenten iata accredited agents drucken flugscheine
binäre option,binäre option digitale option finanzderivat optionen abgeleitet exotischen optionen zählt kategorie termingeschäfte gehört binären optionen szenarien eintreten tritt zuvor definiertes
black-litterman-verfahren,black-litterman-verfahren mathematisches modell berechnung anlageallokation verfahren fischer black robert litterman entwickelt
boleto bancário,boleto bancário einfach boleto bezeichnet deutsch sinngemäß zahlschein zahlungsmethode brasilien geregelt federação brasileira de bancos febraban brasilianischer bankenverband boleto geldautomaten
rating#ratingcodes,rating versteht finanzwesen ordinal skalierte einstufung bonität wirtschaftssubjekts unternehmen staat finanzinstruments einstufung regel ratingagentur kreditinstitut vorgenommen
gratisaktie,gratisaktien aktien nominellen kapitalerhöhungen gesellschaftsmitteln ausgegeben wirtschaftlichen wirkung entspricht ausgabe gratisaktien aktiensplit synonyme berichtigungsaktie zusatzaktie stockdividende
bootstrapping zinsen,bootstrapping verfahren risikofreie zinssätze renditen kuponanleihen effizienten märkten gehandelt hergeleitet hergeleiteten zinssätzen lässt zinsstrukturkurve darstellen
borrowing-base-finanzierung,zusammenhang unternehmensfinanzierungen spricht borrowing-base-finanzierung kreditgeber kreditnehmer rahmen finanzierung umlaufvermögens revolvierend liquide verfügung stellt maximal mögliche ausnutzung zugesagten rahmens bestände umlaufvermögens
bodmerei,bodmerei verbodmung franz prêt à la aventure engl
brückenfinanzierung,brückenfinanzierung englisch bridge financing bridge loan oberbegriff kreditinstitute vorgenommene kurzfristig angelegte vor- zwischenfinanzierung bestimmter transaktionen immobilienkauf unternehmenskauf endgültigen anschlussfinanzierung
budget,budget byˈdʒeː fachgebieten bilanzähnliche gegenüberstellung einnahmen ausgaben kosten erträgen sonstigen werten bestimmten zweck wirtschaftssubjekt verfügung stehenden geldmittel
budgetrestriktion,budgetrestriktion budgetbeschränkung bezeichnet volkswirtschaftslehre gängige bedingung mathematischen modellen sicherstellt akteure geld ausgeben verfügung steht sofern güter betrachtet budgetrestriktion grafisch mittels
bausparkasse,bausparkassen handelt spezielle kreditinstitute aufgrund z b deutschen bausparkassengesetz geregelten geschäftskreisbeschränkung wesentlichen wohnungsbaufinanzierung bausparverträge betreiben
business broker,business broker bzw unternehmensvermittler mittelsmann verkäufen mittleren unternehmen kmu
business intelligence,geschäftsanalytik englisch business intelligence abkürzung bi wirtschaftsinformatik zuzuordnender begriff verfahren prozesse systematischen analyse unternehmens bezeichnet umfasst sammlung auswertung darstellung daten
unternehmensbewertung,unternehmensbewertung ermittlung wertes unternehmen anteilen unternehmen gegenstand wesentlicher bestandteil corporate finance
buy and hold,buy and hold deutsch kaufen behalten anlagestrategie abzielt geldanlagen langfristig behalten ansatz betont sowohl abgrenzung kurzfristig verstandenen spekulation kurzfristigen sicheren
investitionsrechnung,investitionsrechnung umfasst verfahren rationale beurteilung rechenbaren aspekte investition ermöglichen finanziellen konsequenzen investition quantifiziert verdichtet entscheidungsempfehlung geben
kapitalmarktlinie,kapitalmarktlinie kml englisch capital market line cml beziehung kapitalmarkttheorie erwartete s
kapitalbeteiligung,kapitalbeteiligung unternehmensbeteiligung beteiligung englisch participation versteht besitz eigenkapital unternehmens
currency carry trade,currency carry trade cct spekulationsstrategie spekulant kredit währung vergleichsweise niedrigem zinsniveau aufnimmt zinspapiere kaufen währung höherem zinsniveau notiert hofft höheren
geldumschlag,geldumschlag geldumschlagsdauer englisch cash conversion cycle asset conversion cycle net operating cycle working capital cycle cash cycle bezeichnet betriebswirtschaftlichen controlling
schatzkanzler,schatzkanzler englisch chancellor of the exchequer bezeichnung britische regierungsmitglied hm treasury finanz- wirtschaftsministerium leitet verantwortungsbereich zugeordnet regierungssystemen üblicherweise jeweils finanz-
chartered alternative investment analyst,chartered alternative investment analyst caia titel caia association kandidaten vergeben prüfungen  bestanden ausbildung personen gedacht portfolios alternative investments betreuen
chemikalienleasing,chemikalienleasing geschäftsmodell chemischen industrie chemieunternehmen chemikalie bestimmten service liefert eigentum behält
chief investment officer,chief investment officer cio manager investitionen unternehmens steuert beziehungsweise betreut aufgabe cio vermögensportfolio unternehmens verstehen verwalten überwachen strategien förderung wachstum
kirchliches kreditinstitut,kirchliches kreditinstitut bank konfessionellem hintergrund deutschland existiert reihe banken umfeld evangelischen katholischen kirche
kirchensteuer sonstige staaten,außerhalb deutschsprachigen raums existiert wenigen ländern kirchensteuer abgabe mittelalterlichen zehnt verbindung gebracht
churning,churning engl provisionsschneiderei gaunerei to churn buttern umrühren finanzbereich häufige umschichten depots vermögensverwalter broker verstanden
cirrus bargeldbezugskarte,cirrus bezeichnung internationalen kreditkartenfirma mastercard bargeldbezugskarte karten cirrus-logo aufgedruckt ebenfalls logo gekennzeichneten geldautomaten bargeld meist gebührenpflichtig abgehoben
collar finanzwesen,collar engl kragen rahmen bezeichnet finanzwirtschaft handelsstrategie sowohl negative positive auswirkungen änderung wertes basiswertes begrenzt
pfand recht,pfand versteht pfandrecht rechtsobjekte gläubiger sicherheit forderung verfügung gestellt
sicherheitenbewertung,sicherheitenbewertung allgemein finanzwesen speziell bankwesen erstmalige permanente wertermittlung wertes kreditsicherheiten laufzeit kredits
comfort letter,comfort letter letter of comfort englischen stammender begriff finanz- wirtschaftswesen bezeichnet gesellschaft abgegebene erklärung sachverhalt analyse prüfung bestätigt quasi beglaubigt
provision,provision lateinisch providere vorsorgen sorgen deutschsprachigen raum erfolgsabhängiges entgelt erbrachte dienstleistungen geschäftsbesorgungen kontext branche anstelle begriffs provision bezeichnungen üblich courtage
the committee to re-elect the president,committee for the re-election of the president dt komitee wiederwahl präsidenten stellte ziel wiederwahl us-präsidenten richard nixon präsidentschaftswahl gewährleisten
kaufzwang,kaufzwang fachspr oniomanie altgriechisch ὤνιον onios käuflich maníā mania wahn engl
constant proportion portfolio insurance,constant proportion portfolio insurance cppi dynamische portfolio-absicherungsstrategie
coco-anleihe,coco-anleihe bedingte pflichtwandelanleihe englisch contingent convertible bond coco bond langfristige nachrangige anleihe meist festem kupon eintreten vorab festgelegten ereignissen wandlungskriterien
antizyklisches investieren,antizyklisches investieren englisch contrarian investing dt contrarian-strategie anlage- bzw
core-satellite-strategie,core-satellite-strategie core-satellite-ansatz englisch core kern bezeichnet portfoliomanagement aufteilung portfolios breit diversifizierte kerninvestition core grundrendite ausreichender sicherheit bieten mehrere einzelinvestitionen satellite
kreditrisiko,kreditrisiko adressrisiko adressenausfallrisiko kreditwesen verwendeter begriff worunter allgemein gefahr verstanden kreditnehmer gewährten kredite vollständig vertragsgemäß zurückzahlen allgemein kreditrisiko kreditinstitute bedeutendste
länderrisiko,länderrisiko englisch country risk bezeichnet außenwirtschaft speziellen verlustrisiken gläubiger unternehmer ausgesetzt export/import investitionen finanzprodukten kreditinstituten durchsetzung forderungen ausländischen vertragspartnern bzw
kredit,kredit abgeleitet lateinisch credere glauben vertrauen lateinisch creditum treu glauben anvertraute englisch credit englisch loan leihe versteht allgemein übereignung bargeld
kreditvermittlung,kreditvermittlung darlehensvermittlung gewerbliche vermittlung krediten künftige kreditnehmer kreditvermittlung unterliegt ländern rechtlichen regulierungen insbesondere kreditnehmer verbraucher
kreditzusage,kreditzusage bankwesen rechtsverbindliche zusage kreditgebende kreditinstitut kredite bestimmten vorab festgelegten kreditbedingungen kreditnehmer verfügung stellen
kreditklemme,kreditklemme kreditknappheit englisch credit crunch kreditkrise versteht wirtschaft unzureichende ausbleibende kredit­vergabe nichtbanken kreditinstitute höhe kreditzinses und/oder mangelnden bonität kreditnehmer beruht
kreditereignis,kreditereignis englisch credit event beschreibt speziell kreditderivatehandel bestimmtes ereignis eintritt zahlungspflicht sicherungsgebers ausgelöst begriff allgemein kreditwesen verwandt bezeichnet schadensfall schuldner
stornierung,stornierung storno italienisch stornare rückgängig lateinisch extornare ausdrehen rechnungswesen bankwesen rückgängigmachen konto vorgenommenen buchung rückabwicklung vertrags umgangssprachlich stornierung genannt rechtlich
rating,rating versteht finanzwesen ordinal skalierte einstufung bonität wirtschaftssubjekts unternehmen staat finanzinstruments einstufung regel ratingagentur kreditinstitut vorgenommen
kredittheorie,kredittheorie thematisiert kredit geld galt deutschland orthodoxe kredittheorie geschäftsbanken finanzintermediäre einlagen sparern verleihen
gläubiger,rechtsbegriff gläubigers lehnübersetzung italienischen creditore credere glauben zurückgeht gläubiger glaubt demnach schuldner schuld geschuldete leistung erbringen
cross-border-leasing,cross-border-leasing cbl art leasing leasinggeber leasingnehmer ihren sitz verschiedenen staaten leasingnehmer leasinggeber vermögensgegenstände vertraglich wirtschaftlichen eigentum überträgt leasingnehmer nutzen sinn
crossing network,crossing network crossing-system vollelektronisches alternatives handelssystem zusammenführen passenden kundenaufträgen untereinander kundenaufträgen eigenbestände handelsteilnehmers ausschluss externen börse ermöglicht definition united states
crowdfunding,crowdfunding ˈkɹaʊdˌfʌndiŋ englisch crowd menschen-)menge funding finanzierung deutsch schwarmfinanzierung gruppenfinanzierung art finanzierung methode geldbeschaffung lassen projekte produkte umsetzung geschäftsideen vieles
kryptowährung,kryptowährungen kryptogeld digitale zahlungsmittel basieren kryptographischen werkzeugen blockchains digitalen signaturen
mietsicherheit,deutschland mietsicherheit umgangssprachlich mietkaution leistung geldbetrages mieter vermieter sicherung mietverhältnis herrührenden forderungen vermieters miete nebenkosten reparaturleistungen beendigung mietverhältnisses nutzungsentschädigung schadensersatz
days sales outstanding,begriff days sales outstanding dso bzw forderungslaufzeit bezeichnet anzahl zeitpunkt rechnungsstellung rechnungsdatum zahlungseingang bankkonto bzw
debitkommission,debitkommission lat debere schulden heiligen römischen reich instrument schuldenregulierung ggf
belastungsanzeige,belastungsanzeige meist rechnungen folgende kürzung rechnungsbetrages schuldner z b mängeln schäden gekauften ware
schulden,schulden versteht umgangssprachlich verbindlichkeiten rückzahlungsverpflichtungen natürlichen juristischen personen gläubigern verbunden
staatsschuldenquote,staatsschuldenquote schuldenquote finanzwissenschaft volkswirtschaftliche kennzahl verhältnis staatsschulden nominalen bruttoinlandsprodukt bestimmten staates ausdrückt
verschuldungsgrad,verschuldungsgrad englisch debt to equity ratio gearing leverage ratio schuldners unternehmen gemeinden staaten betriebswirtschaftliche kennzahl verhältnis bilanziellen fremdkapital eigenkapital angibt
schuldenuhr,schuldenuhr öffentlicher zähler aktuelle staatsverschuldung öffentlichen gebietskörperschaft üblicherweise staates schätzt sekundenweise aktualisierung fortschreiten visualisiert spiegelbildlichen zusammenhanges verbindlichkeiten forderungen inzwischen vermögensuhren
inkasso,inkasso ˌɪnˈkaso italienisch incasso gleicher bedeutung deverbativ italienisch incassare einkassieren geld einziehen österreichisch ausschließlich plural inkassi einzug fremden geldforderungen fremdem
konsolidierung finanzwesen,konsolidierung konsolidation finanzwesen umwandlung kurzfristiger schulden langfristige
moratorium,moratorium steht aufschub  moratorium wirtschaft stillhalteabkommen zahlungsaufschub psychosoziales moratorium übergangsphase jugend erwachsenenaltersiehe  atom-moratorium entscheidung deutschen bundesregierung sicherheitsprüfung atomkraftwerken
schuldenerlass,schuldenerlass vertrag gläubiger schuldner teilweisen erlöschen betroffenen schulden führt schuldenerlass handelt radikalste sanierungsmaßnahme schuldner krise beabsichtigte wirkung höchst umstritten eingetreten
schuldendienstdeckungsgrad,schuldendienstdeckungsgrad kapitaldienstdeckungsgrad engl debt service coverage ratio dscr betriebswirtschaftliche kennzahl art schuldners kreditzinsen tilgung bestimmte einnahmen gegenübergestellt
schuldner,schuldner natürliche juristische person vertraglichen gesetzlichen schuldverhältnis leistungspflicht trifft schuldner mithin verpflichtet gläubiger bestehenden schuldverhältnis bestimmte leistung erbringen
anonyme schuldner,anonymen schuldner englisch debtors anonymous selbsthilfeorganisation schuldenprobleme aufhören weiterhin ungedeckte schulden anonymen alkoholiker setzen anonymen schuldner zwölf-schritte-programm
schuldnerverzug,schuldnerverzug bezeichnet  allgemein form vertragsverletzung deutschland schuldnerverzug deutschland österreich schuldnerverzug österreich schweiz schuldnerverzug schweiz
department of finance canada,department of finance canada englisch bzw staatlichen kanadischen zweisprachigkeit gleichberechtigt ministère finances canada französisch finanzministerium kanada sitz ottawa
sicherungsvermögen,sicherungsvermögen bezeichnet versicherungswesen aktiva versicherungsunternehmens dient ansprüche versicherungsnehmer insolvenzfall sichern deutsches aufgrund europäischer rechtsvorschriften sogenannte zwangsliquidationsrichtlinie eingeführt wobei zuvor institut
deutsche bank prize in financial economics,deutsche bank prize financial economics ehrte international renommierte wirtschaftswissenschaftler arbeit forschung finanz- makroökonomischen fragen entscheidend beeinflusst wesentlichen beiträgen wissenschaft praxis
entwicklungsbank,entwicklungsbanken englisch development banks spezialbanken beratung wirtschaftliche technische hilfe wirtschaftliche soziale entwicklung entwicklungsländern regionen fördern
desinvestition,begriff desinvestition devestition englisch divestment disinvestment bezeichnet gegenteil investition betriebswirtschaftslehre bezeichnet freisetzung kapital unternehmen verkauf vermögensgegenständen umwandlung sach- finanzwerten investierten
ausschüttungsquote aktien,ausschüttungsquote dividendenausschüttungsquote aktien anteil jahresüberschusses aktiengesellschaften form dividendenzahlung aktionäre ausschütten ausschüttungsquote gilt fundamentalanalyse wichtiger faktor beurteilung dividendenpolitik unternehmens
dogs of the dow,dogs of the dow anlagestrategie aktien verfolgt ziel auswahl aktien höhe dividendenrendite bessere performance erzielen gesamtmarkt index abgebildet
durchschnittskosteneffekt,durchschnittskosteneffekt englisch cost average effect dollar cost averaging effekt regelmäßigen anlage bleibender beträge wertpapiere meist form sparplänen entstehen führen wertschwankungen
downtown erbil,downtown erbil großprojekt gebäudekomplex stadt erbil autonomen region kurdistan irak planung umsetzung übernimmt emaar properties größte immobilienunternehmen vereinigten arabischen emirate
du-pont-schema,du-pont-schema du-pont-kennzahlsystem original dupont-system of financial control älteste kennzahlsystem welt bekanntesten rein monetären größen orientierte system unternehmenskennzahlen bilanzanalyse unternehmenssteuerung amerikanischen
gewinn je aktie,gewinn aktie englisch earnings per share eps betriebswirtschaftliche kennzahl beurteilung ertragskraft aktiengesellschaft sowohl ias/ifrs us-gaap börsennotierte unternehmen jeweils jahresabschluss veröffentlicht
ökonomisches kapital,ökonomischem kapital versteht pierre bourdieu besitz art ware beispielsweise unternehmen produktionsmittel grund boden anderes vermögen geld aktien schmuck kunstwerke ökonomische
grundrententheorie,grundrententheorie theorie klassischen nationalökonomie erklärt form wirtschaftskreislauf grundrente anfällt grundrente bodenrente differentialrente einfach rente ertrages pächter eigentümer ackerboden baugelände forstwirtschaft
emerging market,emerging market engl wörtlich aufstrebender markt schwellenmarkt finanzbranche aufstrebender markt bezeichnet
energiebilanz ökologie,energiebilanz energiehaushalt engl energy budget genannt ökologie ökophysiologie bezeichnung bilanzmäßige untersuchung darstellung kontinuierlichen energieumwandlungen
entschädigungseinrichtung deutscher banken,entschädigungseinrichtung deutscher banken gmbh edb gesetzliche entschädigungseinrichtung einlagenkreditinstitute privatrechtlicher rechtsform privatbanken
äquator-prinzipien,äquator-prinzipien englisch equator principles freiwilliges regelwerk banken einhaltung umwelt- sozialstandards bereich projektfinanzierungen name äquator-prinzipien’ symbolisiert weltumspannenden anspruch leitlinien
eigenkapitalquote,eigenkapitalquote englisch equity ratio betriebswirtschaftliche kennzahl verhältnis eigenkapital gesamtkapital (= bilanzsumme unternehmens wiedergibt
eurobond euromarkt-anleihe,eurobonds anleihen mittlerer längerer laufzeit internationalen kapitalmarkt euromarkt platziert land emittiert land währung stammt aufgelegt bezeichnung eurobond steht zusammenhang europäischen
europäisches währungsabkommen,europäische währungsabkommen august paris einigen europäischen oecd-ländern vereinbartes abkommen europäische zahlungsunion ersetzte bestand
european multilateral clearing facility,european multilateral clearing facility emcf größten europäischen zentralen kontrahenten clearing multilaterale handelssysteme mtf unternehmen joint venture fortis bank nasdaq omx
europäischer ausschuss für systemrisiken,europäische ausschuss systemrisiken eu-systemrisiko-rat englisch european systemic risk board abgekürzt esrb ausschuss europäischen union eu früherkennung prävention bekämpfung systemischen risiken
ex ante,ex ante lat vorher begriff juristischen fachsprache bezeichnet beurteilung früherer sicht
umtauschanleihe,umtauschanleihe engl exchangeable bond anleihe zusätzlich jährlichen fixen zinszahlung investor anleihe jederzeit feste gegebene anzahl aktien tauschen
ausgabenfunktion,ausgabenfunktion mikroökonomik verwendete funktion angibt konsument minimal ausgeben gegebenes nutzenniveau erreichen nutzenfunktion preise güter nutzen erzielt vorgegeben
kreditversicherung,kreditversicherung versicherung lieferantenkredits verstanden umfasst kredite immobilienfinanzierungen bankkredite
auslandsverschuldung,auslandsverschuldung bezeichnet gesamtbestand verbindlichkeiten wirtschaftssektoren staat nichtfinanzielle finanzielle sektoren volkswirtschaft ausland gegenstück auslandsverschuldung auslandsvermögen
fremdfinanzierung,fremdfinanzierung bezeichnet betriebswirtschaftslehre finanzierungsmaßnahmen rahmen unternehmensfinanzierung unternehmen zusätzliches fremdkapital verfügung gestellt gegensatz eigenfinanzierung
firds,financial instruments reference database system firds datenbank finanzinstrumenten europäischen wertpapier- marktaufsichtsbehörde esma publiziert liefert zusatzinformationen instrumenten finanzmarktrichtlinie mifid ii berichtet
financial intermediation services indirectly measured,financial intermediation services indirectly measured abgekürzt fisim deutsch finanzserviceleistungen indirekte messung bezeichnen volkswirtschaftlichen gesamtrechnungen indirekten entgelte banken kredit- einlagengeschäft direkt
fabrikgut,fabrikgut kirchenfabrik kirchenärar fabrica ecclesiae kirchengebäude bestreitung kosten gottesdienstes unterhaltung kirchengebäudes stifts- klostergebäude bestimmte vermögen kirche stifts klosters eigenkirchen- eigenklosterwesens
eidgenössisches finanzdepartement,eidgenössische finanzdepartement efd französisch département fédéral finances dff italienisch dipartimento federale delle finanze dff rätoromanisch departemente schweizer landesregierung entspricht aufgabenbereich
bundesministerium der finanzen,bundesministerium finanzen abkürzung bmf oberste bundesbehörde bundesrepublik deutschland hauptsitz bzw
föderaler öffentlicher dienst finanzen,föderale öffentliche dienst finanzen abkürzung föd finanzen finanzministerium belgien vierzehn föderalen öffentlichen diensten belgien sitz gegründeten behörde brüssel
filmbudget,filmbudget versteht höhe geldsumme filmproduktionsgesellschaft herstellung films verfügung stellt beispielsweise direkte auswirkungen produktionswert anhand filme a-movies umgangssprachlich teure produktionen hollywood-filmstudios
finanzen,finanzen plural wort finanz konfix verwendet englisch finances französisch finances allgemein sammelbegriff finanzwesen finanzwirtschaft speziell öffentliche finanzen staatsfinanzen kommunalfinanzen gemeint
finanzierungsleasing,finanzierungsleasing englisch finance-leasing typischem leasing überwälzt leasinggeber investitionsrisiko leasingnehmer geber trägt somit kreditrisiko eventuell vereinbarte dienstleistungen
financial markets and portfolio management,financial markets and portfolio management fmpm wissenschaftliche zeitschrift finanzwirtschaft zeitschrift publiziert wissenschaftliche beiträge bereichen finanzwirtschaft  bereichen finanzmärkten portfoliotheorie wealth
schattenfinanzindex,schattenfinanzindex financial secrecy index fsi tax justice networks listet potentiellen schaden schattenwirtschaft finanzbereich ländern hoheitsgebieten
finanzanalyst,finanzanalyst person funktion unternehmen erstellung finanzanalysen beschäftigt
finanzplatz,finanzplatz finanzzentrum ort hohe konzentration banken finanzinstitutionen börsen existenz entwicklung finanzmärkten eingeschränkt sodass finanzielle aktivitäten transaktionen effizienter durchgeführt orten internationaler
finanzintermediär,finanzintermediäre englisch financial intermediaries unternehmen finanzmarkt vermittler nachfrage angebot wirtschaftssubjekte finanzinstrumenten finanzierungsinstrumenten treten ausgleichen umwandeln
finanzielle allgemeinbildung,finanzielle allgemeinbildung finanzkompetenz allgemeinbildung verbraucher ausbildung finanzbranche alltag lage versetzt finanzwirtschaftliches wissen anzueignen hiermit probleme bereich finanzdienstleistungen selbständig eigenverantwortlich lösen
betriebswirtschaftliche kennzahl,betriebswirtschaftliche kennzahl kennzahl beurteilung unternehmen herangezogen unternehmensdaten gewonnen rahmen kennzahlensystemen eingesetzt
finanzrisiko,finanzrisiken risiken wirtschaftssubjekts bezeichnet ihren ursprung finanzbereich unmittelbar gewinn- verlustrechnung auswirken finanzrisiken insbesondere kreditinstituten übernommen finanzielle transaktionen bankbetriebliches kerngeschäft darstellen
finanzdienstleistung,finanzdienstleistung sammelbezeichnung finanzwirtschaftliche marktfähige dienstleistungen finanzintermediären insbesondere finanzdienstleistungsinstituten angeboten
finanzsystem,finanzsystem system zahlungsströme teilnehmern systems erlaubt finanzsystem verschiedenen ebenen betrachtet volkswirtschaftlicher sicht globaler globales finanzsystem nationaler regionaler ebene einzelwirtschaftlicher sicht
finanztechnologie,finanztechnologie englisch financial technology verkürzt fintech bzw fintech sammelbegriff technologisch weiterentwickelte finanzinnovationen finanzinstrumenten -dienstleistungen -intermediären resultieren
finanzmarkt-kapitalismus,finanzmarkt-kapitalismus finanzkapitalismus sozialwissenschaftlicher begriff neueren typus kapitalismus kennzeichnet finanzmärkte wachsenden einfluss realökonomie ausüben soziologen paul windolf geprägte begriff insbesondere christoph
floating charge,floating charge englischen property law sicherungsmittel forderung floating charge wirtschaftsleben verbreitetsten sicherungsmittel unternehmen sicherungsgeber auftreten privatpersonen partnership verwehrt ausnahme limited
terminzins,terminzins forward rate bezeichnet zinssatz zukünftigen zeitpunkt gilt gegenteil terminzinses kassazins sofort bestimmte laufzeit gilt
ministerium für wirtschaft und finanzen frankreich,französische ministerium wirtschaft finanzen französisch ministère de l’economie et finances minefi juni ministère de l'économie finances et de l'industrie deutsch
finanzierung,finanzierung finanzökonomik englisch financing finanzwirtschaft versorgung wirtschaftssubjekts kapital ziele verfolgen
fundraising,fundraising engl mittelakquisition bzw
g20 entwicklungsländer,g20 entwicklungsländer aufgrund fluktuation mitglieder zeitweise g21 g22 g23 g20 genannt gruppe entwicklungs- schwellenländern namen gegeben ältere g20 wirtschaftlich stärksten
g33,bezeichnung g33 abkürzung gruppe dreiunddreißig unterschiedliche informelle zusammenschlüsse staaten gemeint
geldkarte,geldkarte elektronische geldbörse deutschland beteiligten kreditinstituten banken ausgegeben
gharar,gharar arabisch غرر dmg gharar arabisch khațar ungewissheit täuschung islam verbot spekulation ungewissheit
